100,4,33.7374,,,,,,,,,,,,,,,,
100,2,92.1536,,,,,,,,,,,,,,,,
100,4,71.3053,,,,,,,,,,,,,,,,
100,2,56.5639,,,,,,,,,,,,,,,,
100,1,54.101,,,,,,,,,,,,,,,,
100,2,88.5839,,,,,,,,,,,,,,,,
100,4,40.2935,,,,,,,,,,,,,,,,
100,6,67.7086,,,,,,,,,,,,,,,,
100,3,69.096,,,,,,,,,,,,,,,,
100,6,67.0799,,,,,,,,,,,,,,,,
,3.4,,,,,,,,,,,,,,,,,
200,4,158.3271,,,,,,,,,,,,,,,,
200,4,176.3164,,,,,,,,,,,,,,,,
200,4,74.9198,,,,,,,,,,,,,,,,
200,2,219.369,,,,,,,,,,,,,,,,
200,0,162.5626,,,,,,,,,,,,,,,,
200,2,141.0043,,,,,,,,,,,,,,,,
200,2,184.8572,,,,,,,,,,,,,,,,
200,2,154.1914,,,,,,,,,,,,,,,,
200,2,127.4437,,,,,,,,,,,,,,,,
200,4,143.5481,,,,,,,,,,,,,,,,
,2.6,,,,,,,,,,,,,,,,,
300,4,214.5324,,,,,,,,,,,,,,,,
300,2,256.6939,,,,,,,,,,,,,,,,
300,0,143.868,,,,,,,,,,,,,,,,
300,0,198.0544,,,,,,,,,,,,,,,,
300,2,172.434,,,,,,,,,,,,,,,,
300,2,231.7964,,,,,,,,,,,,,,,,
300,0,112.6596,,,,,,,,,,,,,,,,
300,2,198.088,,,,,,,,,,,,,,,,
300,3,259.2212,,,,,,,,,,,,,,,,
300,2,159.323,,,,,,,,,,,,,,,,
,1.7,,,,,,,,,,,,,,,,,
400,2,211.0247,,,,,,,,,,,,,,,,
400,0,301.903,,,,,,,,,,,,,,,,
400,3,232.8513,,,,,,,,,,,,,,,,
400,0,266.3981,,,,,,,,,,,,,,,,
400,0,331.7594,,,,,,,,,,,,,,,,
400,2,122.9896,,,,,,,,,,,,,,,,
400,2,193.8524,,,,,,,,,,,,,,,,
400,2,196.9012,,,,,,,,,,,,,,,,
400,3,230.7132,,,,,,,,,,,,,,,,
400,0,277.435,,,,,,,,,,,,,,,,
,1.4,,,,,,,,,,,,,,,,,
4,6,4,4,2,2,3,3,4,2,3.4,37.2052,,,,,,,
2,0,2,2,1,3,3,3,6,2,2.4,38.7901,,,,,,,
3,4,0,4,3,2,2,2,2,4,2.6,38.9059,,,,,,,
3,2,4,3,1,1,2,5,4,4,2.9,41.2235,,,,,,,
2,3,3,4,2,4,3,0,4,3,2.8,44.9039,,,,,,,
1,2,3,1,3,0,1,3,3,1,1.8,48.9893,,,,,,,
3,4,2,2,0,2,3,3,4,4,2.7,43.6698,,,,,,,
1,1,2,5,2,0,2,1,3,1,1.8,42.8483,,,,,,,
2,4,2,3,2,8,3,1,1,2,2.8,37.0941,,,,,,,
4,1,3,1,4,2,3,4,2,3,2.7,37.1173,,,,,,,
2.5,2.7,2.5,2.9,2,2.4,2.5,2.5,3.3,2.6,2.59,,,,,,,,
,,,,,,,,,,,,,,,,,,
13.7548,21.0503,31.8124,43.8261,54.2588,62.1857,75.5900,75.0893,99.2028,96.2501,113.6236,124.8905,142.2301,163.1937,162.1312,197.3414,175.8743,211.9206,169.4096
